keyword,title,host,dueDate,viewCount,coverImage,parentCategory_id,subCategory_id
서포터즈,"[동아일보, 채널A]2024 SEA FARM SHOW 서포터즈 2기 모집","동아일보, 채널A",마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727229910055769_thumb.jpg,1,2
국내봉사,[교육봉사] 태청야학 2024학년도 2학기 2차 신입 교사 모집,태청야학,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727210985382861_thumb.jpg,1,2
강연/행사,지속가능개발 차세대 리더를 위한 WEW,Pillar Foundation,마감기한 없음,486,https://cf-cpi.campuspick.com/activity/17271727430852_thumb.jpg,1,2
국내봉사,[자원봉사모집] JUMP 공연 외국인 관람객 안내 자원봉사자 모집,펀데이코리아네트웍스,마감기한 없음,728,https://cf-cpi.campuspick.com/activity/1727164797601127_thumb.jpg,1,2
국내봉사,[자원봉사모집] 안성 남사당 바우덕이 축제 외국인 팸투어 자원봉사자 모집,경기도 안성시,마감기한 없음,321,https://cf-cpi.campuspick.com/activity/1727163847462751_thumb.jpg,1,2
국내봉사,[경기문화재단] 2024 경기상상캠퍼스 정기 자원봉사자 모집,경기문화재단,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727142912533569_thumb.jpg,1,2
서포터즈,2024 국가유산주간 SNS 서포터즈 모집,국가유산청,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727240512931434_thumb.jpg,1,2
"서포터즈,마케터,기타",신라면세점 대학생서포터즈 2기 모집,호텔신라,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727071428369747_thumb.jpg,1,2
국내봉사,제3기 서울 자치경찰 대학생순찰대 하반기 추가모집,서울특별시 자치경찰위원회,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727056156289714_thumb.jpg,1,2
국내봉사,제4회 성북청춘불패영화제 자원활동가 청춘페프 모집,성북구,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1726896587816768_thumb.jpg,1,2
"서포터즈,기자단,마케터",2024 페스티벌 시월 서포터즈 모집,부산광역시/벡스코/리컨벤션,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1726889011772767_thumb.jpg,1,2
국내봉사,2024 장성 황룡강 가을꽃 축제 플로깅 모집 공고,장성군청,마감기한 없음,443,https://cf-cpi.campuspick.com/activity/1726826264877885_thumb.jpg,1,2
국내봉사,2024 장성 황룡강 가을꽃 축제 자원봉사자 모집 공고,장성군청,마감기한 없음,371,https://cf-cpi.campuspick.com/activity/1726825421243909_thumb.jpg,1,2
강연/행사,[통일부] 찾아가는 북스토리 토크콘서트 참여자 모집(~9/24),통일부,마감기한 없음,768,https://cf-cpi.campuspick.com/activity/1726815019344825_thumb.jpg,1,2
강연/행사,2024 스타트업콘(Startup:CON) 행사,문화체육관광부,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1726799412517921_thumb.jpg,1,2
서포터즈,[2024 부산 잡(JOB) 페스티벌] 서포터즈 모집,"부산광역시, 부산은행",마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1726796855685176_thumb.jpg,1,2
